208500 1:60.00 2:65.00 3:8450.00 4:2003.00 5:196.00 6:706.00 7:150.00 8:854.00 9:1.00
181500 1:20.00 2:80.00 3:9600.00 4:1976.00 5:0.00 6:978.00 7:284.00 8:0.00 9:0.00
223500 1:60.00 2:68.00 3:11250.00 4:2002.00 5:162.00 6:486.00 7:434.00 8:866.00 9:1.00
140000 1:70.00 2:60.00 3:9550.00 4:1970.00 5:0.00 6:216.00 7:540.00 8:756.00 9:1.00
250000 1:60.00 2:84.00 3:14260.00 4:2000.00 5:350.00 6:655.00 7:490.00 8:1053.00 9:1.00
143000 1:50.00 2:85.00 3:14115.00 4:1995.00 5:0.00 6:732.00 7:64.00 8:566.00 9:1.00
307000 1:20.00 2:75.00 3:10084.00 4:2005.00 5:186.00 6:1369.00 7:317.00 8:0.00 9:1.00
129900 1:50.00 2:51.00 3:6120.00 4:1950.00 5:0.00 6:0.00 7:952.00 8:752.00 9:0.00
118000 1:190.00 2:50.00 3:7420.00 4:1950.00 5:0.00 6:851.00 7:140.00 8:0.00 9:1.00
129500 1:20.00 2:70.00 3:11200.00 4:1965.00 5:0.00 6:906.00 7:134.00 8:0.00 9:1.00
345000 1:60.00 2:85.00 3:11924.00 4:2006.00 5:286.00 6:998.00 7:177.00 8:1142.00 9:1.00
279500 1:20.00 2:91.00 3:10652.00 4:2007.00 5:306.00 6:0.00 7:1494.00 8:0.00 9:0.00
132000 1:45.00 2:51.00 3:6120.00 4:2001.00 5:0.00 6:0.00 7:832.00 8:0.00 9:0.00
90000 1:90.00 2:72.00 3:10791.00 4:1967.00 5:0.00 6:0.00 7:0.00 8:0.00 9:0.00
159000 1:20.00 2:66.00 3:13695.00 4:2004.00 5:0.00 6:646.00 7:468.00 8:0.00 9:1.00
139000 1:20.00 2:70.00 3:7560.00 4:1965.00 5:0.00 6:504.00 7:525.00 8:0.00 9:0.00
325300 1:60.00 2:101.00 3:14215.00 4:2006.00 5:380.00 6:0.00 7:1158.00 8:1218.00 9:0.00
139400 1:45.00 2:57.00 3:7449.00 4:1950.00 5:0.00 6:0.00 7:637.00 8:0.00 9:0.00
230000 1:20.00 2:75.00 3:9742.00 4:2002.00 5:281.00 6:0.00 7:1777.00 8:0.00 9:0.00
129900 1:120.00 2:44.00 3:4224.00 4:1976.00 5:0.00 6:840.00 7:200.00 8:0.00 9:1.00
256300 1:20.00 2:110.00 3:14230.00 4:2007.00 5:640.00 6:0.00 7:1566.00 8:0.00 9:0.00
134800 1:20.00 2:60.00 3:7200.00 4:2000.00 5:0.00 6:234.00 7:180.00 8:0.00 9:0.00
306000 1:20.00 2:98.00 3:11478.00 4:2008.00 5:200.00 6:1218.00 7:486.00 8:0.00 9:1.00
207500 1:20.00 2:47.00 3:16321.00 4:1997.00 5:0.00 6:1277.00 7:207.00 8:0.00 9:1.00
68500 1:30.00 2:60.00 3:6324.00 4:1950.00 5:0.00 6:0.00 7:520.00 8:0.00 9:0.00
40000 1:70.00 2:50.00 3:8500.00 4:1950.00 5:0.00 6:0.00 7:649.00 8:668.00 9:0.00
179900 1:20.00 2:85.00 3:11049.00 4:2007.00 5:0.00 6:0.00 7:1234.00 8:0.00 9:0.00
165500 1:20.00 2:70.00 3:10552.00 4:1959.00 5:0.00 6:1018.00 7:380.00 8:0.00 9:0.00
277500 1:120.00 2:60.00 3:7313.00 4:2005.00 5:246.00 6:1153.00 7:408.00 8:0.00 9:1.00
309000 1:60.00 2:108.00 3:13418.00 4:2005.00 5:132.00 6:0.00 7:1117.00 8:1320.00 9:0.00
145000 1:20.00 2:112.00 3:10859.00 4:1995.00 5:0.00 6:0.00 7:1097.00 8:0.00 9:0.00
153000 1:20.00 2:74.00 3:8532.00 4:1990.00 5:650.00 6:1213.00 7:84.00 8:0.00 9:0.00
109000 1:20.00 2:68.00 3:7922.00 4:2007.00 5:0.00 6:731.00 7:326.00 8:0.00 9:1.00
160000 1:20.00 2:84.00 3:8658.00 4:1965.00 5:101.00 6:643.00 7:445.00 8:0.00 9:0.00
170000 1:20.00 2:115.00 3:16905.00 4:1959.00 5:0.00 6:967.00 7:383.00 8:0.00 9:0.00
141000 1:20.00 2:70.00 3:7945.00 4:1959.00 5:0.00 6:179.00 7:465.00 8:0.00 9:1.00
319900 1:120.00 2:61.00 3:7658.00 4:2005.00 5:412.00 6:456.00 7:1296.00 8:0.00 9:1.00
239686 1:50.00 2:48.00 3:12822.00 4:2003.00 5:0.00 6:1351.00 7:83.00 8:631.00 9:1.00
249700 1:20.00 2:84.00 3:11096.00 4:2006.00 5:0.00 6:24.00 7:1632.00 8:0.00 9:0.00
127000 1:20.00 2:66.00 3:7742.00 4:1966.00 5:0.00 6:763.00 7:192.00 8:0.00 9:1.00
114500 1:50.00 2:52.00 3:6240.00 4:1950.00 5:0.00 6:0.00 7:816.00 8:0.00 9:0.00
110000 1:90.00 2:110.00 3:8472.00 4:1963.00 5:0.00 6:104.00 7:0.00 8:0.00 9:1.00
385000 1:20.00 2:68.00 3:50271.00 4:1987.00 5:0.00 6:1810.00 7:32.00 8:0.00 9:2.00
130000 1:80.00 2:60.00 3:7134.00 4:1955.00 5:0.00 6:384.00 7:0.00 8:0.00 9:0.00
180500 1:20.00 2:100.00 3:10175.00 4:1964.00 5:272.00 6:490.00 7:935.00 8:0.00 9:0.00
172500 1:160.00 2:24.00 3:2645.00 4:2000.00 5:456.00 6:649.00 7:321.00 8:756.00 9:1.00
196500 1:60.00 2:89.00 3:11645.00 4:2004.00 5:0.00 6:0.00 7:860.00 8:860.00 9:0.00
438780 1:60.00 2:66.00 3:13682.00 4:2006.00 5:1031.00 6:0.00 7:1410.00 8:1519.00 9:0.00
124900 1:20.00 2:60.00 3:7200.00 4:1972.00 5:0.00 6:632.00 7:148.00 8:0.00 9:0.00
158000 1:20.00 2:63.00 3:13072.00 4:2004.00 5:0.00 6:941.00 7:217.00 8:0.00 9:1.00
101000 1:75.00 2:60.00 3:7200.00 4:1996.00 5:0.00 6:0.00 7:530.00 8:530.00 9:0.00
202500 1:120.00 2:44.00 3:6442.00 4:2006.00 5:178.00 6:24.00 7:1346.00 8:0.00 9:0.00
140000 1:70.00 2:50.00 3:10300.00 4:1950.00 5:0.00 6:0.00 7:576.00 8:808.00 9:0.00
317000 1:60.00 2:76.00 3:9591.00 4:2005.00 5:344.00 6:0.00 7:1143.00 8:1330.00 9:0.00
226000 1:20.00 2:72.00 3:10665.00 4:2003.00 5:167.00 6:1013.00 7:440.00 8:0.00 9:1.00
80000 1:30.00 2:47.00 3:4608.00 4:1950.00 5:0.00 6:0.00 7:747.00 8:0.00 9:0.00
225000 1:50.00 2:81.00 3:15593.00 4:1953.00 5:0.00 6:603.00 7:701.00 8:983.00 9:0.00
244000 1:20.00 2:95.00 3:13651.00 4:1973.00 5:1115.00 6:1880.00 7:343.00 8:0.00 9:1.00
129500 1:20.00 2:69.00 3:7599.00 4:2006.00 5:0.00 6:565.00 7:280.00 8:0.00 9:1.00
185000 1:60.00 2:74.00 3:10141.00 4:1998.00 5:40.00 6:0.00 7:832.00 8:833.00 9:0.00
144900 1:20.00 2:85.00 3:10200.00 4:2003.00 5:104.00 6:320.00 7:404.00 8:0.00 9:1.00
107400 1:50.00 2:60.00 3:5790.00 4:1950.00 5:0.00 6:0.00 7:840.00 8:765.00 9:0.00
91000 1:180.00 2:21.00 3:1596.00 4:1973.00 5:0.00 6:462.00 7:0.00 8:462.00 9:1.00
127000 1:50.00 2:50.00 3:8635.00 4:2001.00 5:0.00 6:336.00 7:295.00 8:213.00 9:1.00
110000 1:50.00 2:60.00 3:10440.00 4:1981.00 5:0.00 6:0.00 7:440.00 8:548.00 9:0.00
193500 1:60.00 2:100.00 3:13000.00 4:1968.00 5:576.00 6:448.00 7:448.00 8:960.00 9:0.00
153500 1:120.00 2:32.00 3:4500.00 4:1998.00 5:443.00 6:1201.00 7:36.00 8:0.00 9:1.00
245000 1:20.00 2:78.00 3:10206.00 4:2007.00 5:468.00 6:33.00 7:1530.00 8:0.00 9:0.00
126500 1:20.00 2:80.00 3:8892.00 4:1960.00 5:66.00 6:0.00 7:1065.00 8:0.00 9:0.00
260000 1:60.00 2:121.00 3:16059.00 4:1992.00 5:284.00 6:0.00 7:1288.00 8:1116.00 9:0.00
174000 1:60.00 2:122.00 3:11911.00 4:2005.00 5:0.00 6:0.00 7:684.00 8:876.00 9:0.00
164500 1:160.00 2:40.00 3:3951.00 4:2009.00 5:76.00 6:0.00 7:612.00 8:612.00 9:0.00
109900 1:20.00 2:60.00 3:7200.00 4:1950.00 5:0.00 6:0.00 7:0.00 8:0.00 9:0.00
98600 1:20.00 2:85.00 3:8500.00 4:1961.00 5:203.00 6:600.00 7:635.00 8:0.00 9:0.00
163500 1:30.00 2:80.00 3:13360.00 4:2006.00 5:0.00 6:713.00 7:163.00 8:0.00 9:1.00
133900 1:190.00 2:60.00 3:7200.00 4:1998.00 5:0.00 6:1046.00 7:168.00 8:1031.00 9:0.00
204750 1:60.00 2:69.00 3:9337.00 4:1997.00 5:0.00 6:648.00 7:176.00 8:881.00 9:1.00
214000 1:20.00 2:78.00 3:10264.00 4:1999.00 5:183.00 6:1162.00 7:426.00 8:0.00 9:0.00
94750 1:20.00 2:73.00 3:10921.00 4:1965.00 5:48.00 6:520.00 7:440.00 8:0.00 9:1.00
83000 1:30.00 2:85.00 3:10625.00 4:1950.00 5:0.00 6:108.00 7:350.00 8:0.00 9:0.00
178000 1:60.00 2:77.00 3:9206.00 4:1985.00 5:336.00 6:0.00 7:741.00 8:755.00 9:0.00
118964 1:90.00 2:64.00 3:7018.00 4:1979.00 5:0.00 6:0.00 7:0.00 8:0.00 9:0.00
198900 1:20.00 2:94.00 3:10402.00 4:2009.00 5:0.00 6:0.00 7:1226.00 8:0.00 9:0.00
250000 1:60.00 2:75.00 3:9375.00 4:2004.00 5:768.00 6:0.00 7:1053.00 8:939.00 9:0.00
100000 1:30.00 2:60.00 3:10800.00 4:1995.00 5:0.00 6:0.00 7:641.00 8:0.00 9:0.00
115000 1:20.00 2:50.00 3:6000.00 4:1950.00 5:0.00 6:104.00 7:516.00 8:0.00 9:0.00
190000 1:20.00 2:105.00 3:11751.00 4:1977.00 5:480.00 6:705.00 7:1139.00 8:0.00 9:0.00
136900 1:50.00 2:75.00 3:9525.00 4:1972.00 5:0.00 6:444.00 7:550.00 8:639.00 9:0.00
383970 1:60.00 2:77.00 3:9965.00 4:2007.00 5:220.00 6:984.00 7:280.00 8:1414.00 9:1.00
259500 1:70.00 2:61.00 3:7259.00 4:2002.00 5:0.00 6:774.00 7:104.00 8:884.00 9:1.00
176000 1:160.00 2:34.00 3:3230.00 4:1999.00 5:1129.00 6:419.00 7:310.00 8:729.00 9:0.00
155000 1:20.00 2:74.00 3:8536.00 4:2007.00 5:0.00 6:0.00 7:1125.00 8:0.00 9:0.00
320000 1:60.00 2:90.00 3:12376.00 4:1990.00 5:0.00 6:1470.00 7:203.00 8:1523.00 9:1.00
163990 1:60.00 2:65.00 3:8461.00 4:2006.00 5:0.00 6:0.00 7:728.00 8:728.00 9:0.00
100000 1:50.00 2:50.00 3:6060.00 4:1950.00 5:0.00 6:0.00 7:732.00 8:351.00 9:0.00
136000 1:20.00 2:75.00 3:9464.00 4:1958.00 5:135.00 6:570.00 7:510.00 8:0.00 9:0.00
153900 1:120.00 2:55.00 3:7892.00 4:1993.00 5:0.00 6:300.00 7:899.00 8:0.00 9:0.00
181000 1:20.00 2:48.00 3:17043.00 4:1998.00 5:0.00 6:0.00 7:1362.00 8:0.00 9:0.00
155000 1:60.00 2:69.00 3:7590.00 4:1966.00 5:266.00 6:512.00 7:148.00 8:688.00 9:0.00
150000 1:20.00 2:69.00 3:8973.00 4:1991.00 5:85.00 6:567.00 7:413.00 8:0.00 9:0.00
226000 1:60.00 2:88.00 3:14200.00 4:1966.00 5:309.00 6:445.00 7:479.00 8:941.00 9:0.00
150750 1:20.00 2:75.00 3:7388.00 4:2002.00 5:0.00 6:405.00 7:658.00 8:0.00 9:1.00
180000 1:20.00 2:78.00 3:10335.00 4:1993.00 5:0.00 6:570.00 7:891.00 8:0.00 9:0.00
174000 1:20.00 2:80.00 3:10400.00 4:1970.00 5:288.00 6:0.00 7:1304.00 8:0.00 9:0.00
171000 1:90.00 2:82.00 3:11070.00 4:1989.00 5:70.00 6:0.00 7:1907.00 8:0.00 9:0.00
230000 1:60.00 2:73.00 3:9066.00 4:2000.00 5:320.00 6:668.00 7:336.00 8:848.00 9:0.00
231500 1:60.00 2:65.00 3:15426.00 4:1997.00 5:0.00 6:821.00 7:107.00 8:836.00 9:1.00
260000 1:20.00 2:78.00 3:11645.00 4:2005.00 5:0.00 6:1300.00 7:434.00 8:0.00 9:1.00
166000 1:50.00 2:71.00 3:8520.00 4:1952.00 5:0.00 6:507.00 7:403.00 8:475.00 9:0.00
204000 1:20.00 2:78.00 3:10335.00 4:1999.00 5:183.00 6:679.00 7:811.00 8:0.00 9:1.00
125000 1:90.00 2:70.00 3:9100.00 4:1963.00 5:336.00 6:1332.00 7:396.00 8:0.00 9:1.00
130000 1:160.00 2:24.00 3:2522.00 4:2006.00 5:50.00 6:0.00 7:970.00 8:739.00 9:0.00
105000 1:30.00 2:51.00 3:6120.00 4:1993.00 5:0.00 6:209.00 7:506.00 8:0.00 9:1.00
122000 1:20.00 2:120.00 3:10356.00 4:1975.00 5:0.00 6:716.00 7:253.00 8:0.00 9:0.00
372402 1:20.00 2:107.00 3:13891.00 4:2008.00 5:436.00 6:1400.00 7:310.00 8:0.00 9:1.00
125000 1:30.00 2:84.00 3:11340.00 4:1950.00 5:0.00 6:0.00 7:1200.00 8:0.00 9:0.00
109500 1:20.00 2:60.00 3:7200.00 4:1950.00 5:0.00 6:0.00 7:0.00 8:0.00 9:0.00
269500 1:60.00 2:92.00 3:12003.00 4:2010.00 5:84.00 6:0.00 7:774.00 8:1194.00 9:0.00
254900 1:60.00 2:100.00 3:12552.00 4:2005.00 5:0.00 6:222.00 7:769.00 8:956.00 9:0.00
320000 1:60.00 2:134.00 3:19378.00 4:2006.00 5:456.00 6:57.00 7:1335.00 8:1070.00 9:1.00
412500 1:60.00 2:110.00 3:13688.00 4:2004.00 5:664.00 6:1016.00 7:556.00 8:1096.00 9:1.00
220000 1:20.00 2:95.00 3:12182.00 4:2005.00 5:226.00 6:1201.00 7:340.00 8:0.00 9:0.00
152000 1:40.00 2:40.00 3:5400.00 4:2004.00 5:0.00 6:370.00 7:779.00 8:467.00 9:0.00
325624 1:60.00 2:86.00 3:10562.00 4:2007.00 5:300.00 6:1288.00 7:294.00 8:551.00 9:1.00
183500 1:60.00 2:62.00 3:8244.00 4:2004.00 5:0.00 6:0.00 7:840.00 8:880.00 9:0.00
215000 1:20.00 2:141.00 3:31770.00 4:1960.00 5:112.00 6:639.00 7:441.00 8:0.00 9:1.00
239000 1:160.00 2:44.00 3:5306.00 4:1987.00 5:0.00 6:495.00 7:354.00 8:703.00 9:1.00
163000 1:20.00 2:80.00 3:10197.00 4:1961.00 5:491.00 6:288.00 7:700.00 8:0.00 9:1.00
184000 1:20.00 2:47.00 3:12416.00 4:1986.00 5:132.00 6:1398.00 7:0.00 8:0.00 9:1.00
243000 1:20.00 2:84.00 3:12615.00 4:2001.00 5:0.00 6:477.00 7:725.00 8:0.00 9:1.00
211000 1:60.00 2:97.00 3:10029.00 4:1989.00 5:268.00 6:831.00 7:320.00 8:896.00 9:0.00
501837 1:20.00 2:63.00 3:17423.00 4:2009.00 5:748.00 6:1904.00 7:312.00 8:0.00 9:1.00
100000 1:30.00 2:60.00 3:8520.00 4:2006.00 5:0.00 6:0.00 7:968.00 8:0.00 9:0.00
200100 1:70.00 2:54.00 3:7588.00 4:1950.00 5:0.00 6:352.00 7:441.00 8:901.00 9:0.00
120000 1:20.00 2:60.00 3:9060.00 4:2006.00 5:98.00 6:0.00 7:0.00 8:0.00 9:0.00
200000 1:50.00 2:63.00 3:11426.00 4:2003.00 5:0.00 6:0.00 7:1362.00 8:720.00 9:0.00
127000 1:50.00 2:92.00 3:7438.00 4:1991.00 5:0.00 6:0.00 7:504.00 8:316.00 9:0.00
475000 1:75.00 2:90.00 3:22950.00 4:1993.00 5:0.00 6:0.00 7:1107.00 8:1518.00 9:0.00
135000 1:50.00 2:60.00 3:10410.00 4:1987.00 5:0.00 6:0.00 7:660.00 8:704.00 9:0.00
153337 1:90.00 2:64.00 3:7018.00 4:1979.00 5:275.00 6:1086.00 7:0.00 8:0.00 9:2.00
286000 1:120.00 2:41.00 3:4923.00 4:2002.00 5:0.00 6:1153.00 7:440.00 8:0.00 9:1.00
315000 1:70.00 2:70.00 3:10570.00 4:1994.00 5:0.00 6:297.00 7:556.00 8:1178.00 9:0.00
192000 1:20.00 2:68.00 3:9017.00 4:1999.00 5:0.00 6:560.00 7:871.00 8:0.00 9:1.00
130000 1:160.00 2:24.00 3:2522.00 4:2004.00 5:50.00 6:0.00 7:970.00 8:739.00 9:0.00
127000 1:20.00 2:60.00 3:7180.00 4:1972.00 5:0.00 6:390.00 7:474.00 8:0.00 9:0.00
148500 1:160.00 2:24.00 3:2280.00 4:1976.00 5:0.00 6:566.00 7:289.00 8:601.00 9:0.00
311872 1:20.00 2:79.00 3:9416.00 4:2007.00 5:205.00 6:1126.00 7:600.00 8:0.00 9:1.00
235000 1:75.00 2:174.00 3:25419.00 4:1990.00 5:0.00 6:1036.00 7:140.00 8:1360.00 9:1.00
274900 1:20.00 2:76.00 3:9591.00 4:2005.00 5:262.00 6:1088.00 7:625.00 8:0.00 9:1.00
140000 1:20.00 2:80.00 3:8546.00 4:2004.00 5:0.00 6:0.00 7:1121.00 8:0.00 9:0.00
171500 1:20.00 2:75.00 3:10125.00 4:1977.00 5:0.00 6:641.00 7:276.00 8:0.00 9:0.00
112000 1:50.00 2:50.00 3:7000.00 4:1950.00 5:0.00 6:617.00 7:0.00 8:445.00 9:0.00
110000 1:50.00 2:50.00 3:3500.00 4:1950.00 5:0.00 6:312.00 7:408.00 8:564.00 9:0.00
180500 1:20.00 2:99.00 3:11851.00 4:1990.00 5:0.00 6:0.00 7:1424.00 8:0.00 9:0.00
143900 1:20.00 2:40.00 3:13673.00 4:1962.00 5:0.00 6:0.00 7:1140.00 8:0.00 9:0.00
145000 1:20.00 2:75.00 3:8250.00 4:1964.00 5:260.00 6:787.00 7:305.00 8:0.00 9:1.00
186000 1:20.00 2:83.00 3:10420.00 4:2009.00 5:0.00 6:36.00 7:1176.00 8:0.00 9:0.00
